2024-08-19 16:39:25;INFO;

Glue/mrpc Seed 43 Batch Size 1 alpha_mid_False 8 Layers
2024-08-19 16:39:25;INFO;
Total param      : 6738.423808
Train param      : 360.710144
Dataset          : glue
Method           : alpha_mid
Layers           : 8
Batch size       : 1
Learning Rate    : 2e-05
Train Samples    : 3668
Eval Samples     : 408
Eval Loss        : 0.19372226297855377
Eval Acc         : 0.8284313725490197
Forward time     : 2.7313819766044616 min
Backward time    : 7.353214156627655 min
Weight memory    : 26953.712128 MB
Optimizer memory : 2885.681152 MB
Activation memory: 1043.0338063773172 MB
Gradient memory  : 1477.9250377142855 MB
Input memory     : 0.0033366543075245363 MB
Total memory     : 31318.862336 MB
Peak memory      : 32768.871936 MB


