2024-08-19 16:45:45;INFO;

Glue/mrpc Seed 43 Batch Size 1 alpha_mid_False 12 Layers
2024-08-19 16:45:45;INFO;
Total param      : 6738.423808
Train param      : 541.065216
Dataset          : glue
Method           : alpha_mid
Layers           : 12
Batch size       : 1
Learning Rate    : 2e-05
Train Samples    : 3668
Eval Samples     : 408
Eval Loss        : 0.15549486875534058
Eval Acc         : 0.8431372549019608
Forward time     : 2.7461525162061053 min
Backward time    : 7.659415006637573 min
Weight memory    : 26953.712128 MB
Optimizer memory : 4328.521728 MB
Activation memory: 1064.1288623598691 MB
Gradient memory  : 2199.3382200392584 MB
Input memory     : 0.0033366543075245363 MB
Total memory     : 33483.1232 MB
Peak memory      : 35654.553088 MB


